"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Triple-S Salud ","PR","Health Plan","56853","05/29/2014","Unauthorized Access/Disclosure","Paper/Films","No","Triple-S Management Corporation (“TRIPLE-S”), on behalf of its wholly owned subsidiaries, Triple-S Salud Inc., Triple-C Inc. and Triple-S Advantage Inc. , formerly known as American Health Medicare Inc., has agreed to settle potential violations of the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules with the U.S. Department of Health and Human Services, Office for Civil Rights (OCR).  TRIPLE-S will pay $3.5 million and will adopt a robust corrective action plan to correct deficiencies in its HIPAA compliance program, an effort it has already begun.

“OCR remains committed to strong enforcement of the HIPAA Rules,” said OCR Director Jocelyn Samuels. “This case sends an important message for HIPAA Covered Entities not only about compliance with the requirements of the Security Rule, including risk analysis, but compliance with the requirements of the Privacy Rule, including those addressing business associate agreements and the minimum necessary use of protected health information.”

TRIPLE-S is an insurance holding company based in San Juan, Puerto Rico, which offers a wide range of insurance products and services to residents of Puerto Rico through its subsidiaries.  TRIPLE-S has fully cooperated with HHS in investigating this case and has agreed to put in place a comprehensive HIPAA compliance program as a condition for settlement.  

After receiving multiple breach notifications from TRIPLE-S involving unsecured protected health information (PHI), OCR initiated investigations to ascertain the entities’ compliance with HIPAA Rules. OCR’s investigations indicated widespread non-compliance throughout the various subsidiaries of Triple-S, including:

Failure to implement appropriate administrative, physical, and technical safeguards to protect the privacy of its beneficiaries’ PHI;
Impermissible disclosure of its beneficiaries’ PHI to an outside vendor with which it did not have an appropriate business associate agreement;
Use or Disclosure of more PHI than was necessary to carry out mailings;
Failure to conduct an accurate and thorough risk analysis that incorporates all IT equipment, applications, and data systems utilizing ePHI; and
Failure to implement security measures sufficient to reduce the risks and vulnerabilities to its ePHI to a reasonable and appropriate level.
The settlement requires TRIPLE-S to establish a comprehensive compliance program designed to protect the security, confidentiality, and integrity of the personal information it collects from its beneficiaries, that includes:

A risk analysis and a risk management plan;
A process to evaluate and address any environmental or operational changes that affect the security of the ePHI it holds;
Policies and procedures to facilitate compliance with requirements of the HIPAA Rules; and
A training program covering the requirements of the Privacy, Security, and Breach Notification Rules, intended to be used for all members of the workforce and business associates providing services on TRIPLE-S premises.
Triple-S, with the help of OCR through its technical assistance, had already begun to take extensive corrective action, as required by the Corrective Action Plan, and will continue to work with OCR to come into compliance with HIPAA.

“Triple-S is committed to protecting the privacy and security of its beneficiaries’ health information and implementing the Corrective Action Plan entered into with OCR,” said President and CEO of Triple-S Management Corporation, Ramon M. Ruiz.  “We are pleased with the agreement and regard it as an opportunity to strengthen our privacy policies. We have appreciated OCR’s technical assistance to date, and look forward to our collaboration in the future.”"
"NFP Maschino, Hudelson & Associates","OK","Business Associate","3814","05/30/2014","Theft","Laptop","Yes","An unencrypted laptop was stolen from the vehicle of an employee of Maschino, Hudelson & Associates, a broker and business associate (BA) of the covered entity (CE), Aetna.  The laptop contained the protected health information (PHI) of 3,814 of the CE's customers.  The types of PHI involved in the breach included names, dates of birth, addresses, social security numbers and account information.  The BA provided breach notification to affected individuals and the media.  OCR provided technical assistance to the CE regarding the requirements for notification to HHS.  OCR verified that the CE had a proper BA agreement in place at the time of this breach.  "
"Salina Health Education dba Salina Healthcare Center","KS","Healthcare Provider","9640","06/05/2014","Unauthorized Access/Disclosure","Email","No","An employee of the covered entity (CE), Salina Family Healthcare Center, sent an email containing electronic protected health information (ePHI) to a third party as part of a research case study.  The types of PHI involved in the breach included names, dates of birth, addresses, chart numbers, and procedure codes affecting approximately 9,640 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE responded to the breach by obtaining assurances that the email was destroyed by the third party, and sanctioning the responsible employee.  As a result of OCR’s investigation, the CE updated and trained staff on its policies relating to the e-mailing of PHI and uses and disclosures of PHI. "
"Open Cities Health Center ","MN","Healthcare Provider","1304","06/05/2014","Other","Email","No","\N"
"Mark A. Gillispie","CA","Healthcare Provider","5845","06/06/2014","Theft","Desktop Computer","No","On June 5, 2014, the covered entity (CE), reported that a trusted physician who had worked in the office for four years left, and prior to leaving, copied patients’ demographic information including names, social security numbers, addresses, dates of birth, phone numbers, emails, insurance information and recall dates.  The protected health information (PHI) of 5,845 individuals was affected by the breach.  Following the breach, the CE improved technical safeguards by installing a firewall, securing browser sessions, implementing strong authentication, antivirus software, and logical access control, and encrypting wireless connections.  It also improved physical security and reported that it revised its HIPAA Privacy and Security policies and procedures.  During the course of the investigation, OCR learned that the CE is no longer a CE."
"Penn State Milton S. Hershey Medical Center","PA","Healthcare Provider","1801","06/06/2014","Unauthorized Access/Disclosure","Email, Other Portable Electronic Device","No","An employee of the covered entity (CE), Penn State Milton S. Hershey Medical Center, downloaded protected health information (PHI) onto an unsecured flash drive and used the device in his personal computer to complete work which he then emailed to the CE using his personal email account.  The types of PHI involved in the breach included the demographic and clinical information for 1,801 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE performed a risk assessment and updated encryption measures.  The CE also reminded all clinical laboratory staff and faculty of expected practices pertaining to safeguarding PHI, and provided staff a listing of the relevant policies concerning encryption and electronic messaging and links to the corresponding policies.  As a result of OCR's investigation, the CE submitted to OCR copies of its policies regarding use of personal devices and emails, storing PHI on third party owned or managed media and use of approved electronic connections, systems and/or services.  OCR verified that appropriate policy was in place at the time of the incident and the employee did not follow the policy.  OCR obtained assurances that the CE has implemented the corrective actions listed above.  "
"Walgreen Co.","IL","Healthcare Provider","540","06/06/2014","Theft","Desktop Computer, Paper/Films","No","\N"
"St. Francis Hospital","GA","Healthcare Provider","1175","06/09/2014","Unauthorized Access/Disclosure","Email","No","On May 30, 2014, a staff member sent an email to approximately 1,175 patients that erroneously permitted them to see the email addresses of all recipients.  The covered entity (CE), St. Francis Hospital, investigated the incident, replaced its information technology department leadership and its security officer, and counseled the employee involved.  Additionally, the CE updated its HIPAA policies and trained the entire workforce on its updated policies.  The CE also began upgrading its equipment to better prevent security incidents.  The CE provided breach notification to the affected individuals via e-mail message, sent notification to the media, and placed a conspicuous notice on its website.  In response to OCR’s provision of technical assistance, the CE provided written notification to the affected individuals."
"Doctors First Choice Billings, Inc","FL","Business Associate","9255","06/11/2014","Theft","Other","Yes",""
"Doctors First Choice Billings, Inc.","FL","Business Associate","1831","06/12/2014","Hacking/IT Incident","Other","Yes","\N"
"Santa Rosa Memorial Hospital, Privacy Manager Breach","CA","Healthcare Provider","33702","06/13/2014","Theft","Other Portable Electronic Device","No","A thumb drive containing data pertaining to X-rays provided between February 2, 2009 and May 13, 2014, was believed to have been stolen from a staff member's locker during a burglary that occurred on June 2, 2014, at the Santa Rosa Memorial Imaging Center. The thumb drive contained information pertaining to X-rays provided by the Redwood Regional Medical Group and Santa Rosa Memorial Hospital.  The types of electronic protected health information (ePHI) included in the breach included  names, medical record numbers, dates of birth, genders, dates and times of service, body part(s) examined, names of technologists, and data related to the amount of radiation to produce the X-ray. The breach affected approximately 33,702 individuals. This breach was resolved as part of the Resolution Agreement and Corrective Action Plan for St. Joseph Health which may be found on the OCR website at 
http://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/sjh.
"
"Baylor Medical Center at Carrollton","TX","Healthcare Provider","2874","06/13/2014","Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Group Health Plan of Hurley Medical Center","MI","Health Plan","2289","06/16/2014","Unauthorized Access/Disclosure","Email","No","\N"
"IHS","MD","Health Plan","620","06/19/2014","Unauthorized Access/Disclosure","Other","No","\N"
"David DiGiallorenzo, D.M.D.","PA","Healthcare Provider","11000","06/19/2014","Hacking/IT Incident, Unauthorized Access/Disclosure","Other","No","An individual hacked into the Dentrix software of the covered entity (CE), Lanap & Implant Center of Pennsylvania (David DiGiallorenzo), and posted patients’ protected health information (PHI) on a “BitTorrent” website (which distributes files over the Internet), piratebay.com.  The breach involved the PHI of 11,000 individuals and included names, as well as dates of birth and social security numbers for some of the individuals.  The CE provided breach notification to HHS, affected individuals whose PHI was compromised, and the media, as well as substitute notification.  Following the breach, the CE received security updates from Dentrix.  As a result of OCR’s investigation, the CE increased safeguards by implementing security measures on its electronic systems.  "
"NRAD Medical Associates, P.C.","NY","Healthcare Provider","97000","06/20/2014","Hacking/IT Incident, Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device","No","\N"
"NYU Hospitals Center","NY","Healthcare Provider","872","06/20/2014","Theft","Laptop","No","\N"
"Abrham Tekola, M.D.,INC","CA","Healthcare Provider","5471","06/20/2014","Theft","Desktop Computer","No","Two unencrypted desktop computers and one unencrypted laptop computer were stolen during a burglary.  The breach affected 5,471 individuals and the types of protected health information (PHI) involved included patients’ names, social security numbers, addresses, dates of births, and medical information. Upon learning of the theft, the covered entity (CE) hired a legal firm to assist with responding and notifying all individuals affected.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE hired specialized data security personnel, conducted a Security Rule risk analysis, and implemented a risk mitigation plan that reflects the current work environment.  Additionally, the CE improved safeguards by updating its policies and procedures on portable/mobile devices and encrypting its electronic equipment.  The CE completed security awareness training of its workforce members.  OCR obtained documentation that the CE implemented the corrective actions noted above and provided technical assistance regarding the HIPAA Security Rule."
"Colorado Neurodiagnostics, PLLC","CO","Healthcare Provider","750","06/23/2014","Theft","Laptop","No","An unencrypted laptop computer containing protected health information (PHI) was stolen from Colorado Neurodiagnostics’ locked offices on April 25, 2014, affecting approximately 750 individuals. The PHI on the laptop included patients’ names, dates of birth, diagnoses, conditions, laboratory results, medications, and treatment information. The covered entity (CE) provided breach notification to affected individuals, the media, and HHS.  It also immediately filed a police report and implemented additional physical safeguards.  As a result of OCR’s investigation and technical assistance, the CE conducted a risk analysis, developed a risk management plan, encrypted its electronic devices containing PHI, and implemented additional technical safeguards. "
"Sloane Stecker Physical Therapy, PC","NY","Healthcare Provider","2000","06/24/2014","Theft","Electronic Medical Record","No","A workforce member, a physical therapist, accessed the electronic health record system and obtained 2,000 patients’ names, addresses and telephone numbers for the purpose of contacting or soliciting these patients to join a new physical therapy practice.  The covered entity (CE), Sloane Stecker Physical Therapy, PC, provided breach notification to HHS, affected individuals, and the media and posted substitute notice on its website. The also CE provided free credit monitoring for the affected individuals.  Following the breach, the CE retrieved the patient information and retrained staff.  As a result of OCR’s investigation and technical assistance, the CE is expected to perform an enterprise-wide risk analysis and establish a risk management plan.  It is also expected to implement mechanisms to record and examine activity in information systems that contain or use electronic PHI.  Additionally, the CE is expected to implement a security incident policy and procedure, implement procedures for identity verification for access to electronic PHI, and provide training to all staff on the newly implemented policies and procedures."
"Riverside County Regional Medical Center","CA","Healthcare Provider","563","06/24/2014","Theft","Laptop","No","The covered entity (CE), Riverside County Regional Medical Center, reported that on or around June 18, 2014, a laptop computer used with an electromyography (EMG) machine was a lost or stolen. The laptop contained 563 patients’ electronic protected health information (ePHI) and included patients’ names, medical record numbers, dates of birth, ages, genders, patients’ heights and weights, physicians’ names, clinical data, and study reports.  The CE provided breach notification to HHS, affected individuals and the media, and also reported the incident to local law enforcement.  Following the breach, the CE encrypted the laptop, locked the department during non-business hours, and changed EMG data transfer processes. Additionally, the CE took steps to address gaps in its security management program to further safeguard ePHI, especially after two additional lost or stolen laptops (breach incidents) occurred within a six month period, which OCR investigated jointly with this breach.  OCR obtained assurances that the CE implemented the corrective actions noted above and provided technical assistance on the requirements of the HIPAA Security Rule. "
"Rady Children's Hospital - San Diego","CA","Healthcare Provider","14121","06/24/2014","Unauthorized Access/Disclosure","Email","No","\N"
"Rady Children's Hospital - San Diego","CA","Healthcare Provider","6307","06/25/2014","Unauthorized Access/Disclosure","Email, Other","No","\N"
"Alabama Department of Public Health","AL","Healthcare Provider","1200","06/26/2014","Theft","Electronic Medical Record","No","An employee of the covered entity (CE), Alabama Department of Public Health, disclosed the protected health information (PHI) of approximately 1,200 individuals to a third party, potentially for tax fraud purposes.  Federal law enforcement informed the CE of the breach on March 21, 2014.  The U.S. District Court, Middle District of Alabama indicted the workforce member responsible for the breach for her criminal activities related to the breach, and she is no longer employed by the CE.  Following the breach, the CE implemented additional safeguards.   "
"The Union Labor Life Insurance Company","MD","Healthcare Provider","42713","06/27/2014","Theft","Laptop","No",""
"VA Long Beach Healthcare System","CA","Healthcare Provider","592","07/04/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"D&J Optical Inc. ","AL","Health Plan","1100","07/07/2014","Hacking/IT Incident","Desktop Computer","No","In June 2014, the covered entity (CE), D&J Optical, suspected that a former independently contracted optometrist had created credentials for herself and accessed electronic protected health information (ePHI) without authorization.  This inappropriate access would have exposed the demographic and clinical information of 1,100 individuals.  The CE filed a breach report with HHS and met the requirements of the Breach Notification Rule.  In response to this suspected incident, the CE increased security for access to its server and software, eliminated wireless internet capabilities in its office, and strengthened procedures for password access.  OCR reviewed evidence of the subsequent investigation by a computer forensic expert which revealed that no inappropriate access had occurred and no ePHI was disclosed.   "
"Montana Department of Public Health & Human Services","MT","Health Plan","1062509","07/07/2014","Hacking/IT Incident","Network Server","No","\N"
"Highmark Inc.","PA","Business Associate","2589","07/08/2014","Theft","Paper/Films","Yes","Health profile and care summaries and corresponding cover letters were incorrectly mailed to senior members of the covered entity (CE), Highmark Health, and their physicians.  The protected health information involved in the breach included the names, addresses, telephone numbers, dates of birth, unique medical identifiers (UMI), gender, medications, and health information of 2,589 individuals. The CE provided breach notification to HHS, the media, and affected individuals.  Following the breach, the CE issued a new UMI to each member impacted by the incident.  The CE determined that a process failure by an employee was the root cause for the incorrect mailing and subsequently terminated the employee. As a result of OCR's investigation, the CE instituted new quality review procedures for mailings and retrained employees on its privacy practices and departmental policies, processes and procedures.  OCR obtained details of the CE's revised policies on its health profiles to assure they include only the minimum necessary information.  "
"Haley Chiropractic Clinic","WA","Healthcare Provider","6000","07/08/2014","Theft","Desktop Computer, Laptop","No","One laptop and two desktop computers containing the electronic protected health information (ePHI) of about 6,000 patients were stolen during a break-in at the covered entity (CE), Haley Chiropractic Clinic. The machines and the clinic’s electronic health record (EHR) application were password-protected, but the devices were not encrypted. One of the desktop computers provided access to the web-based EHR system that included names, treatment notes, addresses, phone numbers, dates of birth, insurance information, and social security numbers. The stolen laptop contained patients’ names, social security numbers, height and weight, and range of motion data.  The CE filed a police report, provided breach notification to HHS, affected individuals, and the media, and posted substitute notice on its website. Following the breach, the CE improved safeguards by installing a new physical security alarm and video surveillance system, changing all computer passwords, and encrypting computers.  OCR’s review found that the media notice did not comply with the content requirements of the Breach Notification Rule. Based on OCR’s technical assistance, the CE provided a compliant notice to regional media. "
"St. Vincent Hospital and Health Care Center, Inc.","IN","Business Associate","63325","07/09/2014","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"InSync Computer Solutions, Inc.","AL","Business Associate","50918","07/11/2014","Other","Network Server","Yes","\N"
"Western Regional Center for Brain and Spine Surgery","NV","Healthcare Provider","12000","07/12/2014","Theft","Network Server","No","\N"
"Indian Health Service -Rosebud","MD","Healthcare Provider","620","07/15/2014","Loss","Paper/Films","No","The covered entity (CE), Indian Health Service IHS), Rosebud Service Unit, reported that on May 30, 2014, its employee left a folder of records containing protected health information (PHI) in a public restroom at the IHS’ Rapid City Hospital when she was at the hospital for a meeting. The folder contained the records of 620 individuals and included patient names and social security numbers. The CE provided breach notification to HHS, affected individuals, and the media and also offered credit monitoring and identity theft insurance to affected individuals.  Following the breach, the CE sanctioned the employee.  OCR obtained written assurances from the CE that  it will implement policies and procedures regarding breach notification and mitigation in accordance with the technical assistance provided by OCR pursuant to this investigation.  "
"University of Pennsylvania Health System","PA","Healthcare Provider","661","07/16/2014","Theft","Paper/Films","No","A bag containing a compact disk - read only memory (CD-ROM) was stolen from the vehicle of a physician associated with the covered entity (CE).  The CD-ROM involved in the breach contained names, dates of birth, social security numbers, medical histories, and the treatment information of approximately 2,046 individuals.  Following the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  The CE sanctioned and retrained the physician whose bag was stolen and implemented organization wide improvements to its compliance with the Privacy and Security Rules.  As a result of OCR's investigation the covered entity posted substitute notification of the breach in the local paper and confirmed that corrective actions steps were taken. \\\"
"Bay Area Pain Medical Associates ","CA","Healthcare Provider","2780","07/16/2014","Theft","Desktop Computer","No","The offices of the covered entity (CE), Bay Area Pain Management Associates, were broken into and three desktop computers were stolen.  One unencrypted document on a stolen computer contained the names, and dates of service of 2,780 individuals.  In response to the breach the CE improved physical safeguards by adding a security alarm system, and increasing security features on doors. The CE improved technical safeguards by implementing an encryption file management program.  As a result of OCR’s investigation the CE improved its HIPAA practices."
"Minneapolis VA Health Care System","MN","Health Plan","500","07/17/2014","Unauthorized Access/Disclosure","Paper/Films","No","The covered entity (CE) sent a batch of 500 generic letters to its members informing them of a new community based outpatient clinic opening that erroneously caused another member’s full name and address to appear on the back side of the document.  The CE provided breach notification to HHS, affected individuals, and the media, and it also posted a notice on its website.  To prevent a similar breach from happening in the future, the CE implemented a quality assurance check for batch mail. OCR obtained assurances that the CE implemented the corrective actions listed above."
"Administracion de Seguros de Salud - Triple S Salud Inc (BA)","","Health Plan","7911","07/18/2014","Unauthorized Access/Disclosure","Other Portable Electronic Device","No","On April 15, 2014, the covered entity (CE), Puerto Rico Health Insurance Administration, also known as the Administracion de Seguros Salud de Puerto Rico reported to HHS that on January 14, 2014, they became aware that sometime before October 9, 2013, a former employee of American Health Medicare’s (AHM) business associate (BA), Triple-S Advantage Solutions, copied beneficiaries’ electronic protected health information (ePHI) onto a compact disk which he took home for an unknown period of time and which he subsequently downloaded onto a computer at his new employer.  The ePHI included the enrollment information of 7,911 of the CE’s beneficiaries, including names, dates of births, contract numbers, health insurance claim numbers, home addresses, and social security numbers.  AHM, which was acting as both a CE and a BA, provided breach notification to affected individuals and the media.  As a result of OCR’s investigation, the CE committed to conduct a risk analysis, implement a risk management plan, revise its policies and procedures, and re-train staff within a specified period."
"Midwest Orthopaedic Center SC","IL","","680","07/23/2014","Unauthorized Access/Disclosure","Network Server","Yes","A former affiliate of the covered entity’s (CE) former business associate(BA), McKesson Corporation, that provided specialized billing services, unintentionally made records containing patient information potentially accessible on the Internet. The protected health information (PHI) of approximately 680 individuals was accessible using very specific Google search terms between December 1, 2013 and April 17, 2014.  The former BA immediately safeguarded the information and made it inaccessible on the Internet.   The former BA confirmed that the web server was properly removed from public Internet access, confirmed from its former affiliate that the data at issue was destroyed, contacted Google to ensure all caches pages were destroyed, and confirmed the information could not be accessed through any web search.  The former BA also confirmed with its former affiliate that no other information was available via the computer server at issue or any other server.  The CE confirmed that the former BA’s policies related to data security were in compliance with the CE’s data security requirements.  The CE provided breach notification to HHS, affected individuals, and the media, and offered credit monitoring to the affected individuals.  OCR obtained written assurances that the CE and BA implemented the corrective actions listed above."
"Xand Corporation","NY","Business Associate","3334","07/23/2014","Other","Network Server","Yes","\N"
"Self Regional Healthcare ","SC","Healthcare Provider","38906","07/25/2014","Theft","Laptop","No","On May 25, 2014, a password-protected, unencrypted laptop computer containing the protected health information (PHI) of 38,906 patients was stolen from the covered entity’s (CE) administrative offices during a break-in.  The PHI involved in the breach included patients’ names, social security numbers, driver license numbers, treating physician names, insurance policy numbers, patient account numbers, service dates, diagnosis/procedure information, payment card information, financial account information, and possibly addresses.  The CE provided breach notification to HHS, the media, and affected individuals, and offered credit monitoring.  The CE also contacted the local police department and conducted an internal investigation.  Following the breach the CE revised its HIPAA policies and procedures and retrained its entire workforce on its policies and procedures.  The CE also improved facility access safeguards and encrypted computers.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"Urological Associates of Southern Arizona, P.C.","AZ","Healthcare Provider","3529","07/25/2014","Improper Disposal","Other","No","\N"
"Dr. Veronica Joann Barber","CA","Business Associate","4000","07/28/2014","Unauthorized Access/Disclosure","Network Server","Yes","Another provider, Veronica Joann Barber, O.D., (VB) copied the covered entity’s (CE) entire data base and used the electronic protected health information (ePHI) to solicit  patients for her own practice.  VB worked at the CE’s office under a space-sharing agreement until the CE terminated the agreement.   The CE requested that VB cease and desist using the PHI, but she did not agree.  The theft occurred on December 15, 2013, and affected 4,000 individuals. The ePHI involved in the breach included individuals’ names, social security numbers, addresses, driver’s licenses, dates of births, other identifiers, credit card and bank account numbers, claims information, other financial information, diagnoses and medical conditions, medications, and other treatment information.  The CE provided breach notification to HHS and affected individuals.  Following the breach the CE installed computer firewalls.  Based on OCR’s provision of technical assistance, the CE notified the media and completed a risk assessment.  It also improved safeguards by denying access by unlicensed persons to its computer systems and updating its policies and procedures regarding computer user names and passwords. The CE improved physical safeguards by moving the computer with the ePHI behind a 5-foot tall counter.  "
"PRN Medical Services, LLC dba Symbius Medical, LLC","AZ","Healthcare Provider","13877","07/29/2014","Other, Theft, Unauthorized Access/Disclosure","Email, Network Server","No","\N"
"Midwest Urological Group","IL","Healthcare Provider","982","07/30/2014","Theft","Laptop","No","On May 30, 2014, an unencrypted laptop computer was stolen from a company closet.  The laptop contained the protected health information (PHI) of approximately 982 individuals, including names and data from medical tests.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media and also notified police.  Following the breach, the CE sanctioned and retrained the employee responsible for securing the computer and implemented new policies and procedures to improve safeguards to PHI.  OCR obtained written assurances that the CE implemented the corrective actions listed above.   "
"Rite Aid Store 5256","WA","Healthcare Provider","522","07/30/2014","Theft","Paper/Films","No","A box containing paper prescription records was removed from the backroom at the covered entity’s (CE) Milton, WA location.  The box contained the protected health information (PHI) of approximately 522 individuals and included names, addresses, and dates of birth.  The CE provided breach notification to affected individuals, HHS, and the media.  The CE offered one year of free identity theft protection to affected individuals.  Following the breach, the CE improved physical safeguards by moving all remaining hard copy prescription records to a more secure area.  The CE contacted all other stores in the region to ensure that prescription records were being appropriately secured.  As a result of OCR’s investigation, the CE clarified its PHI storage policies to store managers in Washington State, and implemented new security procedures at the affected location.  OCR provided the CE with technical assistance regarding adequate safeguards to PHI, as well as what constitutes adequate notice to the media pursuant to the Breach Notification Rule."
"StayWell Health Management, LLC","MN","Business Associate","4487","07/31/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Cancer Specialists of Tidewater","VA","Healthcare Provider","2318","07/31/2014","Theft","Electronic Medical Record, Other","No","The covered entity (CE), Cancer Specialists of Tidewater, was notified by the Chesapeake Virginia Police Department that an employee was arrested and charged with taking credit card information from patients’ belongings during office visits.  The breach report indicated that over 500 individuals were affected and the types of protected health information (PHI) involved in the breach included demographic and financial information.  Following the CE’s investigation and electronic audit, it provided breach notification to a total of 2,318 patients, HHS, and the media, and posted substitute notice on its website.  Following the breach, the CE conducted a risk assessment, upgraded breach detection software, and increased its auditing capabilities.  It also conducted employee training.  OCR obtained written assurance that the CE implemented the corrective actions listed above.  Additionally, the CE terminated the employment of the involved employee.







"
"MobilexUSA","OH","Healthcare Provider","605","08/06/2014","Loss","Paper/Films","No","\N"
"Jersey City Medical Center - Barnabas Health","NJ","Healthcare Provider","36400","08/07/2014","Loss","Other","No","\N"
"Diamond Computing Company","GA","Business Associate","7016","08/07/2014","Unauthorized Access/Disclosure","Network Server","Yes","OCR notified the covered entity, Diatherix, that electronic protected health information (ePHI) of its patients was potentially accessible online.  The CE conducted an internal investigation and determined that its business associate (BA), Diamond Computing Company, Inc., was maintaining an insecure file transfer protocol (FTP) site containing the ePHI of approximately 7,016 individuals.  The ePHI involved in the breach included names, social security numbers, dates of birth, addresses, diagnoses, and billing information, as well as other data.  In response to this incident, the CE engaged a data forensic firm to determine the scope and cause of the breach.  The CE provided breach notification to HHS, the media, and affected individuals, and offered one year of identity theft protection.  In addition, the CE performed a risk assessment, took steps to remove cached copies of ePHI from the Internet, and revised its existing policies to ensure its vendors enforce appropriate security measures to protect ePHI.  As a result of OCR’s investigation, OCR obtained assurances that the corrective actions listed above were completed."
"Central Utah Clinic","UT","Healthcare Provider","31677","08/07/2014","Hacking/IT Incident","Network Server","No","\N"
"PST Services Inc, a McKesson Co.","GA","Business Associate","10104","08/08/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Onsite Health Diagnostics (OHD)","TX","Business Associate","60582","08/08/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Apple Valley Care Center","CA","Healthcare Provider","1251","08/12/2014","Hacking/IT Incident","Network Server","No","\N"
"Kaiser Foundation Health Plan of Colorado","CO","Health Plan","11551","08/12/2014","Other, Unauthorized Access/Disclosure","Other","No","The covered entity (CE), Kaiser Foundation Health Plan of Colorado, reported that on July 24, 2014, it erroneously mailed letters containing protected health information (PHI) to incorrect recipients, affecting 11,551 individuals. Each letter contained the name of another program member in a chronic condition management program.  The CE provided breach notification to HHS, affected individuals, and the media.  As a result of OCR's investigation, the CE sanctioned and retrained the responsible employee.  "
"CareAll Management, LLC","TN","Healthcare Provider","28300","08/12/2014","Improper Disposal","Other","No","\N"
"Iron Mountain Records Management","CA","Business Associate","1674","08/13/2014","Improper Disposal, Loss, Theft","Other","Yes","\N"
"24 ON Physicians, PC/In Compass Health,Inc.","GA","Business Associate","520","08/14/2014","Hacking/IT Incident, Other","Network Server","Yes","On December 1, 2013, a subcontractor of 20 ON Physicians PC/ In Compass Health Inc., Williamson Medical Center’s former business associate (BA), unintentionally made a computer server containing protected health information (PHI) potentially available for access on the internet.  The PHI that was potentially available on the internet included the names, dates of service, charge amounts, and billing codes of 520 patients.  The CE investigated and verified that its BA and its subcontractor had taken all necessary corrective steps to mitigate the breach.  Specifically, the subject server was removed from public internet access, all data provided to the subcontractor was destroyed, and all cached pages were removed.  Additionally, the CE worked with the BA to provide breach notification to HHS, affected individuals, and the media, and also posted substitute notice on its website.  Additionally, the CE reviewed and confirmed that all of its BA agreements contain provisions addressing subcontractors and data security and conducted an in-depth review of its risk analysis.  A separate breach investigation was opened for the BA, 20 ON Physicians PC/In Compass Health Inc.  OCR reviewed the BA agreement and Breach Notification Rule policy and determined that they were sufficient."
"24 ON Physicians PC","GA","","","08/15/2014","","","No","On June 10, 2014, 24 ON Physicians, the covered entity (CE), discovered that its business associate (BA), PST Services, hired an off-shore subcontractor GeBBS, which repurposed a computer server containing the protected health information (PHI) of 10,104 of the CE’s patients.  The re-use of server made the PHI potentially available over the Internet from December 1, 2013, to April 17, 2014.  The PHI included patients' names, invoice numbers, procedure codes, charge amounts, balances due, policy numbers, billing-related status comments, and dates of service. In response to this breach, the CE ensured that the server was taken off-line and the PHI was destroyed.  The subcontractor submitted documentation stating that all of the breached PHI was destroyed.  The CE informed OCR that it no longer works with the subcontractor.  The CE provided breach notification to HHS, affected individuals and the media.  It also provided affected individuals with one year of free credit monitoring.  The CE initiated a plan to work with its BAs to strengthen security protocols to prevent this type of breach from occurring in the future. OCR obtained assurances that the CE and BA implemented the corrective actions listed above.."
"State of Tennessee State Insurance Plan","TN","","","08/15/2014","","","No","The covered entity (CE), State of Tennessee State Insurance Plan, discovered on June 10, 2014, that Onsite Health Diagnostics, a subcontractor of its business associate (BA) American Healthways Services, experienced a security incident in which an unknown source gained unauthorized access to its online scheduler during the period from January 4, 2014 to April 11, 2014. The incident resulted in unauthorized access to an information table containing names, dates of birth, addresses, email addresses, phone numbers, and genders of 60,582 individuals.  The CE had a BA agreement in place with the BA. The CE provided breach notification to HHS and demanded that the BA submit a corrective action plan to make sure the problem that led to the breach had been remediated. The subcontractor provided breach notification to HHS, sent individual notification, and provided media notice. The subcontractor offered identity protection to the affected individuals and transitioned customers to an improved scheduling system.  OCR obtained assurances from the CE that the CE, BA, and subcontractor implemented the corrective actions noted above."
"Iron Mountain Incorporated","MA","Business Associate","10000","08/15/2014","Loss, Theft","Paper/Films","Yes","\N"
"Iron Mountain","CA","Business Associate","49714","08/15/2014","Improper Disposal, Loss, Theft","Paper/Films","Yes","\N"
